,HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result
4917,Aston Villa,Coventry,H,4,3,6,2,0.9199318568994889,0.9876543209876542,1.0864197530864197,1.362862010221465,1
4918,Bradford,Middlesbrough,D,7,9,6,6,0.6814310051107325,1.4320987654320987,1.2839506172839505,0.7155025553662692,0
4919,Chelsea,Everton,H,5,3,8,6,1.4991482112436116,0.9876543209876542,0.7901234567901233,1.090289608177172,1
4920,Leicester,Tottenham,H,9,4,6,2,0.9540034071550255,1.1358024691358024,0.7901234567901233,1.2947189097103917,1
4921,Liverpool,Newcastle,H,5,3,2,3,1.362862010221465,0.6913580246913579,0.8888888888888887,1.1243611584327087,1
4922,Man United,Derby,A,6,5,13,1,1.6695059625212947,0.5925925925925926,0.6913580246913579,1.192504258943782,-1
4923,Sunderland,Charlton,H,11,7,8,5,0.817717206132879,0.7901234567901233,0.9382716049382716,1.2947189097103917,1
4924,West Ham,Southampton,H,12,3,5,1,0.817717206132879,0.9876543209876542,0.6419753086419753,0.8858603066439523,1
4925,Ipswich,Man City,H,7,7,9,2,1.0562180579216354,0.7407407407407407,1.037037037037037,1.1584327086882453,1
4926,Liverpool,Chelsea,D,8,7,6,6,1.362862010221465,0.6913580246913579,1.1851851851851851,0.8517887563884157,0
4927,Leeds,Bradford,H,9,7,9,7,1.2265758091993184,1.037037037037037,0.4938271604938271,1.3969335604770017,1
4928,Southampton,Man United,H,3,6,4,4,0.9199318568994889,1.0864197530864197,1.4814814814814814,0.6473594548551959,1
4929,Newcastle,Arsenal,D,2,1,4,8,0.8858603066439523,0.8395061728395061,0.8888888888888887,0.8517887563884157,0
4930,Charlton,Liverpool,A,10,14,10,10,1.0562180579216354,0.9382716049382716,1.5308641975308641,0.8517887563884157,-1
4931,Coventry,Bradford,D,7,3,9,3,0.47700170357751276,1.1358024691358024,0.4938271604938271,1.3969335604770017,0
4932,Derby,Ipswich,D,2,6,3,11,0.7836456558773424,1.1851851851851851,1.2839506172839505,0.9199318568994889,0
4933,Everton,Sunderland,D,8,4,5,6,0.9880749574105622,1.3333333333333333,1.0864197530864197,0.8517887563884157,0
4934,Leeds,Leicester,H,11,5,12,5,1.2265758091993184,1.037037037037037,0.5432098765432098,0.9540034071550255,1
4935,Man City,Chelsea,A,1,3,8,7,0.6814310051107325,1.5308641975308641,1.1851851851851851,0.8517887563884157,-1
4936,Middlesbrough,West Ham,H,7,5,5,6,0.6132879045996592,1.1358024691358024,1.037037037037037,1.0221465076660987,1
4937,Newcastle,Aston Villa,H,5,1,5,1,0.8858603066439523,0.8395061728395061,0.9382716049382716,0.7836456558773424,1
4938,Southampton,Arsenal,H,7,5,7,5,0.9199318568994889,1.0864197530864197,0.8888888888888887,0.8517887563884157,1
4939,Tottenham,Man United,H,3,6,3,6,1.0562180579216354,0.7901234567901233,1.4814814814814814,0.6473594548551959,1
4940,Charlton,Man City,H,14,4,6,6,1.0562180579216354,0.9382716049382716,1.037037037037037,1.1584327086882453,1
4941,Chelsea,West Ham,H,10,5,7,7,1.4991482112436116,0.9876543209876542,1.037037037037037,1.0221465076660987,1
4942,Coventry,Middlesbrough,A,3,9,8,4,0.47700170357751276,1.1358024691358024,1.2839506172839505,0.7155025553662692,-1
4943,Derby,Southampton,D,4,6,5,8,0.7836456558773424,1.1851851851851851,0.6419753086419753,0.8858603066439523,0
4944,Leeds,Everton,H,8,6,6,4,1.2265758091993184,1.037037037037037,0.7901234567901233,1.090289608177172,1
4945,Leicester,Aston Villa,D,4,3,5,4,0.9540034071550255,1.1358024691358024,0.9382716049382716,0.7836456558773424,0
4946,Liverpool,Bradford,H,10,2,6,1,1.362862010221465,0.6913580246913579,0.4938271604938271,1.3969335604770017,1
4947,Sunderland,Arsenal,H,2,7,2,9,0.817717206132879,0.7901234567901233,0.8888888888888887,0.8517887563884157,1
4948,Tottenham,Ipswich,H,6,5,3,4,1.0562180579216354,0.7901234567901233,1.2839506172839505,0.9199318568994889,1
4949,Man United,Newcastle,H,9,6,7,1,1.6695059625212947,0.5925925925925926,0.8888888888888887,1.1243611584327087,1
4950,Arsenal,Liverpool,H,12,4,10,11,1.533219761499148,0.6419753086419753,1.5308641975308641,0.8517887563884157,1
4951,Bradford,Chelsea,H,3,6,6,4,0.6814310051107325,1.4320987654320987,1.1851851851851851,0.8517887563884157,1
4952,Ipswich,Man United,D,8,6,4,6,1.0562180579216354,0.7407407407407407,1.4814814814814814,0.6473594548551959,0
4953,Middlesbrough,Tottenham,D,6,4,5,5,0.6132879045996592,1.1358024691358024,0.7901234567901233,1.2947189097103917,0
4954,Everton,Charlton,H,8,4,3,5,0.9880749574105622,1.3333333333333333,0.9382716049382716,1.2947189097103917,1
4955,Man City,Sunderland,H,10,4,7,3,0.6814310051107325,1.5308641975308641,1.0864197530864197,0.8517887563884157,1
4956,Newcastle,Derby,H,4,5,9,6,0.8858603066439523,0.8395061728395061,0.6913580246913579,1.192504258943782,1
4957,Southampton,Coventry,A,4,5,6,5,0.9199318568994889,1.0864197530864197,1.0864197530864197,1.362862010221465,-1
4958,West Ham,Leicester,A,12,2,11,5,0.817717206132879,0.9876543209876542,0.5432098765432098,0.9540034071550255,-1
4959,Arsenal,Charlton,H,9,4,8,3,1.533219761499148,0.6419753086419753,0.9382716049382716,1.2947189097103917,1
4960,Bradford,Leicester,D,4,8,6,8,0.6814310051107325,1.4320987654320987,0.5432098765432098,0.9540034071550255,0
4961,Everton,Derby,D,9,4,11,2,0.9880749574105622,1.3333333333333333,0.6913580246913579,1.192504258943782,0
4962,Ipswich,Sunderland,H,5,3,7,6,1.0562180579216354,0.7407407407407407,1.0864197530864197,0.8517887563884157,1
4963,Man City,Coventry,A,5,8,5,5,0.6814310051107325,1.5308641975308641,1.0864197530864197,1.362862010221465,-1
4964,Middlesbrough,Leeds,A,8,11,4,8,0.6132879045996592,1.1358024691358024,1.3827160493827158,0.7495741056218058,-1
4965,Newcastle,Tottenham,H,6,2,4,2,0.8858603066439523,0.8395061728395061,0.7901234567901233,1.2947189097103917,1
4966,Southampton,Liverpool,D,7,4,7,1,0.9199318568994889,1.0864197530864197,1.5308641975308641,0.8517887563884157,0
4967,West Ham,Man United,D,8,5,7,5,0.817717206132879,0.9876543209876542,1.4814814814814814,0.6473594548551959,0
4968,Aston Villa,Chelsea,D,9,7,7,10,0.9199318568994889,0.9876543209876542,1.1851851851851851,0.8517887563884157,0
4969,Leeds,Man City,A,1,3,9,4,1.2265758091993184,1.037037037037037,1.037037037037037,1.1584327086882453,-1
4970,Man United,Bradford,H,12,4,5,1,1.6695059625212947,0.5925925925925926,0.4938271604938271,1.3969335604770017,1
4971,Sunderland,West Ham,D,7,9,4,11,0.817717206132879,0.7901234567901233,1.037037037037037,1.0221465076660987,0
4972,Tottenham,Everton,H,7,6,7,5,1.0562180579216354,0.7901234567901233,0.7901234567901233,1.090289608177172,1
4973,Charlton,Southampton,D,6,3,10,14,1.0562180579216354,0.9382716049382716,0.6419753086419753,0.8858603066439523,0
4974,Chelsea,Arsenal,D,5,5,7,6,1.4991482112436116,0.9876543209876542,0.8888888888888887,0.8517887563884157,0
4975,Coventry,Newcastle,A,3,6,6,8,0.47700170357751276,1.1358024691358024,0.8888888888888887,1.1243611584327087,-1
4976,Derby,Middlesbrough,D,5,4,11,5,0.7836456558773424,1.1851851851851851,1.2839506172839505,0.7155025553662692,0
4977,Leicester,Ipswich,H,6,3,6,2,0.9540034071550255,1.1358024691358024,1.2839506172839505,0.9199318568994889,1
